timestamp_ms,ax,ay,az,gx,gy,gz,temp_c,steps_hw,steps_sw,bat_mv,bat_soc
1776381185538,1301,-5936,-10645,-1479,-502,-950,26.31,172,307,3855,58
1776381185538,728,-6121,-11618,-1330,-372,-817,26.31,172,307,3855,58
1776381185538,-273,-5898,-12365,-985,43,-717,26.31,172,307,3855,58
1776381185578,-855,-5389,-13067,-620,341,-641,26.31,172,307,3855,58
1776381185579,-588,-5553,-13641,-438,313,-485,26.31,172,307,3855,58
1776381185619,-32,-5793,-14456,-423,114,-221,26.31,172,307,3855,58
1776381185620,-57,-6140,-16163,-357,11,91,26.31,172,307,3855,58
1776381185699,-841,-6248,-18107,-86,11,357,26.31,172,307,3855,58
1776381185700,-1392,-6240,-19554,345,-42,525,26.31,172,307,3855,58
1776381185740,-1919,-5529,-19584,800,-75,616,26.31,172,307,3855,58
1776381185740,-1897,-4335,-18877,1127,-48,620,26.31,172,307,3855,58
1776381185740,-768,-3537,-18089,1233,1,603,26.31,172,307,3855,58
1776381185821,-87,-2468,-17612,1207,-50,640,26.31,172,307,3855,58
1776381185821,213,-1832,-17513,1202,-154,743,26.31,172,307,3855,58
1776381185821,533,-1588,-18096,1334,-297,888,26.31,172,307,3855,58
1776381185821,861,-1923,-18745,1538,-506,1011,26.31,172,307,3855,58
1776381185862,1077,-2784,-19134,1626,-638,1105,26.31,172,307,3855,58
1776381185862,1331,-3138,-19306,1590,-649,1147,26.31,172,307,3855,58
1776381185903,1553,-3382,-19030,1510,-532,1157,26.31,172,307,3855,58
1776381185903,1694,-2821,-18391,1445,-279,1182,26.31,172,307,3855,58
1776381185903,1998,-2873,-17222,1506,101,1238,26.31,172,307,3855,58
1776381185944,2493,-946,-15438,1411,267,1164,26.31,172,307,3855,58
1776381185944,3433,-377,-14447,1209,285,1085,26.31,172,307,3855,58
1776381185984,3658,260,-14128,920,131,1002,26.31,172,307,3855,58
1776381185984,2812,540,-14297,699,-56,889,26.31,172,307,3855,58
1776381186025,2698,332,-14896,607,-89,784,26.31,172,307,3855,58
1776381186025,3011,305,-15650,627,23,697,26.3,172,308,3861,58
1776381186066,3041,592,-15711,620,212,618,26.3,172,308,3861,58
1776381186066,2777,1312,-15906,510,373,523,26.3,172,308,3861,58
1776381186066,2116,2088,-16307,328,376,416,26.3,172,308,3861,58
1776381186148,2462,2226,-16248,160,371,319,26.3,172,308,3861,58
1776381186148,3269,2305,-16488,31,427,328,26.3,172,308,3861,58
1776381186230,3582,2080,-16754,16,484,390,26.3,172,308,3861,58
1776381186230,3795,1799,-17434,130,496,442,26.3,172,308,3861,58
1776381186230,4843,1201,-18669,193,280,371,26.3,172,308,3861,58
1776381186230,4858,577,-19890,111,61,212,26.3,172,308,3861,58
1776381186230,5246,-180,-21019,-42,-22,33,26.3,172,308,3861,58
1776381186271,5632,-378,-22220,-155,53,-68,26.3,172,308,3861,58
1776381186271,5711,-372,-23100,-155,151,-128,26.3,172,308,3861,58
1776381186311,5215,-161,-23655,-77,125,-209,26.3,172,308,3861,58
1776381186311,4817,280,-22849,-66,31,-434,26.3,172,308,3861,58
1776381186353,5043,-86,-21461,-301,63,-728,26.3,172,308,3861,58
1776381186353,5116,-941,-20969,-665,185,-946,26.3,172,308,3861,58
1776381186394,4890,-1789,-20343,-905,180,-1092,26.3,172,308,3861,58
1776381186394,5139,-2631,-19442,-1007,82,-1193,26.3,172,308,3861,58
1776381186435,6152,-3257,-18426,-1114,-60,-1187,26.3,172,308,3861,58
1776381186435,6128,-3634,-18046,-1132,-114,-1040,26.3,172,308,3861,58
1776381186435,5743,-4535,-17549,-999,-26,-964,26.3,172,308,3861,58
1776381186475,4730,-4855,-16699,-828,189,-1012,26.3,172,308,3861,58
1776381186475,3283,-4533,-15363,-759,332,-1200,26.3,172,308,3861,58
1776381186516,2745,-4113,-13786,-896,349,-1437,26.3,172,308,3861,58
1776381186516,2995,-4002,-12734,-1166,271,-1569,26.3,172,308,3861,58
1776381186597,3214,-3965,-12381,-1359,130,-1551,26.3,172,308,3861,58
1776381186597,3057,-4235,-12714,-1386,-81,-1419,26.3,172,308,3861,58
1776381186637,2373,-4391,-12703,-1283,-247,-1275,26.3,172,308,3861,58
1776381186637,2078,-4733,-12744,-1158,-245,-1170,26.3,172,308,3861,58
1776381186637,2040,-4944,-12644,-1090,-161,-1083,26.3,172,308,3861,58
1776381186678,1651,-5166,-13070,-1081,-88,-991,26.3,172,308,3861,58
1776381186760,1132,-5189,-13387,-1034,-26,-927,26.3,172,308,3861,58
1776381186760,1039,-5192,-13507,-955,53,-854,26.3,172,308,3861,58
1776381186761,1479,-5385,-13951,-879,93,-675,26.3,172,308,3861,58
1776381186761,2004,-5587,-15065,-757,-12,-388,26.3,172,308,3861,58
1776381186761,1909,-5794,-15988,-526,-157,-63,26.3,172,308,3861,58
1776381186761,1629,-6190,-16899,-219,-117,194,26.3,172,308,3861,58
1776381186802,1599,-6747,-17726,51,99,372,26.3,172,308,3861,58
1776381186802,1016,-6466,-18539,293,281,483,26.3,172,308,3861,58
